Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q7K148	Proteasome subunit beta	21.28	6	13	6	128598.55424999999	12	
Q7K159	LD06557p	26.22	6	8	6	5039.95494	5	
Q7K180	LD02709p	17.73	8	12	8	18080.31302	7	
Q7K188	GEO05126p1	29.68	6	49	6	1374145.78471	41	
Q7K1C0	GH23780p	46.53	5	11	1	460358.52576999995	8	
Q7K1C3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	11.58	4	9	4	45585.23231	8	
Q7K1C5	GH21176p	10.85	7	9	7	64971.1353	8	
Q7K1H0	GH09096p	16.67	6	8	6	33448.73543	8	
Q7K1M4	SD04017p	17.31	5	15	5	46028.00094	13	
Q7K1S1	Arginine-hydroxylase NDUFAF5, mitochondrial	9.91	4	11	4	85469.0386	10	
Q7K1W5	LD35843p	23.4	10	26	10	348957.1103	22	
Q7K204	17S U2 SnRNP complex component HTATSF1	6.65	4	6	4	17968.1652	5	
Q7K221	Aspartate aminotransferase, cytoplasmic	38.22	12	26	0	529097.29757	23	
Q7K2E1	LD05247p	9.07	5	13	5	120915.0803	11	
Q7K2I4	Peptidyl-prolyl cis-trans isomerase	35.98	7	24	2	6582.32825	2	
Q7K2L7	GH27120p	17.59	3	5	3	86767.3136	4	
Q7K2N0	Endoplasmic reticulum junction formation protein lunapark	17.57	6	8	6	36174.486430000004	8	
Q7K2P1	Cuticular protein 50Cb	7.3	1	3	1	4366.58124	3	
